id_acesso, id_conta,	id_perfil,	data_inicio,	data_fim,	status
1,	3,	3,	10/01/2026,	31/12/2026,	Ativo
2,	3,	3,	10/01/2026,	31/12/2026,	Ativo
3, 3,	3,	15/01/2026,	31/12/2026,	Ativo
4,	1	1,	15/01/2026,	03/09/2026,	Ativo
5,	4	,4,	05/01/2026,	05/01/2027,	Ativo
6,	5,	5,	05/01/2026,	05/01/2027,	Ativo
7,	2,	2,	20/01/2026,	20/01/2027,	Ativo
8,	4,	4,	20/01/2026,	20/01/2027,	Ativo
9,	3,	3,	01/02/2026,	31/12/2026,	Ativo
10,	10,	3,  01/02/2026,	31/12/2026,	Ativo
11,	11,	6,	10/02/2026,	31/12/2026,	Ativo
12,	12,	6,	10/02/2026,	31/12/2026,	Ativo
13,	13,	1,	15/02/2026,	31/10/2026,	Ativo
14,	14,	5,	25/01/2026,	25/01/2027,	Ativo
15,	15,	1,	01/03/2026,	30/06/2026,	Expirado
16,16,	1,	10/01/2025,	31/12/2025,	Revogado
